artists,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name,popularity
Chaos333,0.654,0.64,0.711,164.917,0.313,0.239,0.0,0.092,1.0,1.0,0,High Energy Pop,
Chapo102,0.79,0.594,0.62,104.905,0.331,0.103,0.0,0.225,0.031,1.0,1,Pop Mainstream,
Chappell Roan,0.687,0.623,0.759,118.602,0.093,0.038,0.0,0.12,0.056,0.32,0,High Energy Pop,91.5
Charan,0.772,0.767,0.866,122.024,0.138,0.038,0.0,0.557,0.0,1.0,4,Brazilian Beat,
Chardo Chardemio,0.788,0.78,0.905,105.026,0.353,0.113,0.0,0.101,0.0,1.0,0,High Energy Pop,
Charita Utami,0.534,0.295,0.197,94.048,0.647,0.024,0.0,0.079,0.0,1.0,3,Asian Acoustic,
Charli XCX,0.708,0.786,0.69,142.006,0.021,0.055,0.028,0.083,0.1,1.0,0,High Energy Pop,80.8
Charli xcx,0.766,0.7,0.636,123.929,0.148,0.083,0.2,0.157,0.081,0.998,2,Latin Groove,88.4
Charlie Puth,0.81,0.6,0.578,104.777,0.523,0.079,0.0,0.132,0.0,0.47,2,Latin Groove,87.0
Charlie Wilson,0.643,0.678,0.468,155.063,0.018,0.042,0.0,0.145,1.0,1.0,1,Pop Mainstream,
Charlotte Cardin,0.728,0.643,0.686,111.078,0.104,0.055,0.0,0.092,0.0,0.009,0,High Energy Pop,69.1
Charlotte Duval,0.683,0.808,0.744,123.017,0.309,0.036,0.013,0.29,0.0,1.0,4,Brazilian Beat,55.1
Charlotte Plank,0.699,0.811,0.269,82.488,0.106,0.071,0.0,0.178,0.0,0.0,2,Latin Groove,
Charlotte de Witte,0.62,0.976,0.109,140.015,0.003,0.054,0.769,0.406,0.0,0.0,2,Latin Groove,
Charly García,0.686,0.765,0.838,115.907,0.088,0.032,0.001,0.377,0.0,1.0,4,Brazilian Beat,61.6
Charly Sosa,0.812,0.987,0.905,102.0,0.133,0.061,0.0,0.301,0.0,1.0,4,Brazilian Beat,
Charm Holic,0.74,0.938,0.886,141.966,0.141,0.061,0.0,0.069,0.0,0.0,0,High Energy Pop,31.4
Charusha,0.522,0.492,0.55,77.67,0.48,0.165,0.0,0.528,0.0,0.0,4,Brazilian Beat,
Chase & Status,0.664,0.94,0.57,100.184,0.216,0.237,0.002,0.144,0.455,0.997,2,Latin Groove,
Chase Atlantic,0.666,0.542,0.077,120.134,0.27,0.039,0.0,0.076,1.0,1.0,3,Asian Acoustic,86.4
Chasing Abbey,0.829,0.712,0.936,128.073,0.415,0.052,0.0,0.275,0.0,0.0,4,Brazilian Beat,63.9
Chavanté,0.616,0.696,0.339,159.59,0.033,0.265,0.0,0.184,1.0,0.929,1,Pop Mainstream,
Chawo,0.815,0.508,0.339,95.965,0.199,0.283,0.0,0.312,1.0,0.0,2,Latin Groove,
Chayanne,0.644,0.906,0.927,77.642,0.143,0.088,0.0,0.112,0.0,1.0,0,High Energy Pop,77.2
Cheatz,0.571,0.722,0.499,160.101,0.065,0.086,0.0,0.206,1.0,0.0,0,High Energy Pop,
Cheb Adoula,0.36,0.818,0.941,93.626,0.817,0.13,0.0,0.36,0.0,0.0,4,Brazilian Beat,
Cheb Djalil,0.36,0.818,0.941,93.626,0.817,0.13,0.0,0.36,0.0,0.0,4,Brazilian Beat,
Cheb Hichem TGV,0.563,0.727,0.914,88.979,0.702,0.065,0.0,0.182,0.0,0.0,0,High Energy Pop,58.9
Cheb Momo,0.507,0.725,0.543,47.685,0.549,0.146,0.0,0.148,0.0,0.0,3,Asian Acoustic,59.9
Cheb Mourad,0.696,0.835,0.917,91.996,0.184,0.037,0.058,0.062,0.0,0.0,0,High Energy Pop,
Cheb Nassim,0.58,0.929,0.642,94.053,0.723,0.195,0.0,0.352,0.0,1.0,4,Brazilian Beat,
Cheba Warda,0.678,0.826,0.891,95.679,0.527,0.111,0.0,0.275,0.0,0.0,4,Brazilian Beat,60.6
Chedda Ree,0.501,0.467,0.045,131.971,0.14,0.129,0.0,0.092,1.0,1.0,3,Asian Acoustic,16.0
Cheema Y,0.662,0.599,0.423,176.23,0.15,0.312,0.0,0.11,0.98,0.02,2,Latin Groove,
Chef'Special,0.634,0.76,0.501,128.773,0.167,0.048,0.0,0.24,0.0,1.0,1,Pop Mainstream,36.9
Chefin,0.705,0.654,0.571,135.671,0.367,0.291,0.0,0.115,0.989,0.057,2,Latin Groove,61.6
Chella,0.832,0.494,0.619,115.032,0.293,0.051,0.782,0.089,0.0,0.0,2,Latin Groove,75.6
Chelsea Muco,0.733,0.88,0.455,111.0,0.038,0.046,0.0,0.032,0.0,0.0,0,High Energy Pop,44.0
Chencho Corleone,0.877,0.713,0.495,93.26,0.242,0.078,0.001,0.096,0.993,0.0,2,Latin Groove,
Cheo Feliciano,0.6,0.784,0.88,97.331,0.67,0.067,0.0,0.069,0.0,0.571,0,High Energy Pop,43.6
Cheo Garcia,0.772,0.456,0.952,134.202,0.364,0.065,0.0,0.22,0.0,1.0,0,High Energy Pop,
Cheque,0.787,0.855,0.483,111.93,0.02,0.047,0.0,0.073,0.0,1.0,0,High Energy Pop,
