artists,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name,popularity
#nācgavilēt koris,0.511,0.606,0.344,84.064,0.019,0.029,0.0,0.176,0.0,0.0,3,Asian Acoustic,
$A Lil Van,0.823,0.813,0.746,150.051,0.118,0.155,0.0,0.845,0.0,0.0,4,Brazilian Beat,
$OHO BANI,0.692,0.644,0.354,139.746,0.09,0.117,0.0,0.131,0.994,0.998,1,Pop Mainstream,
$ONO$ CLIQ,0.902,0.904,0.864,143.992,0.061,0.121,0.0,0.089,1.0,0.0,0,High Energy Pop,
$hirak,0.854,0.612,0.699,128.493,0.278,0.269,0.0,0.129,0.902,0.123,2,Latin Groove,
$ikario a.k.a Panemera panama,0.907,0.782,0.85,105.016,0.235,0.159,0.0,0.048,1.0,0.0,2,Latin Groove,4.0
$kinny,0.7,0.608,0.123,112.981,0.776,0.057,0.0,0.193,0.0,0.0,3,Asian Acoustic,49.0
$onny,0.757,0.679,0.694,138.032,0.518,0.088,0.0,0.108,1.0,1.0,1,Pop Mainstream,
$ourJ,0.624,0.624,0.407,146.099,0.032,0.089,0.0,0.153,0.0,0.0,0,High Energy Pop,43.5
$uicideboy$,0.75,0.764,0.371,137.014,0.034,0.152,0.018,0.365,1.0,0.833,4,Brazilian Beat,60.7
& Mhaw Keys,0.809,0.695,0.416,120.002,0.038,0.05,0.205,0.032,0.0,0.0,2,Latin Groove,
&ME,0.756,0.721,0.571,119.995,0.096,0.04,0.251,0.225,0.0,1.0,2,Latin Groove,
(G)I-DLE,0.849,0.818,0.696,121.954,0.11,0.103,0.0,0.281,0.004,0.272,4,Brazilian Beat,76.0
*NSYNC,0.61,0.926,0.861,172.638,0.031,0.048,0.001,0.082,0.0,0.0,0,High Energy Pop,88.1
.Feast,0.473,0.635,0.324,96.732,0.158,0.028,0.375,0.087,0.0,0.866,3,Asian Acoustic,74.0
0-600,0.853,0.336,0.695,138.033,0.449,0.086,0.0,0.092,1.0,0.0,2,Latin Groove,
01099,0.797,0.715,0.64,145.692,0.26,0.097,0.204,0.11,0.021,0.748,0,High Energy Pop,
015 MusiQ & Van City MusiQ,0.823,0.56,0.695,111.998,0.115,0.044,0.0,0.064,0.0,0.0,2,Latin Groove,
01an,0.783,0.66,0.555,114.119,0.293,0.243,0.096,0.118,1.0,0.673,2,Latin Groove,
03 Greedo,0.755,0.482,0.16,101.964,0.272,0.254,0.0,0.113,1.0,0.0,2,Latin Groove,
031CHOPPA,0.699,0.396,0.376,112.999,0.051,0.119,0.027,0.307,0.0,0.702,1,Pop Mainstream,
070 Shake,0.538,0.742,0.25,96.107,0.138,0.114,0.0,0.093,1.0,1.0,1,Pop Mainstream,
1.Cuz,0.753,0.583,0.551,122.78,0.32,0.18,0.002,0.12,0.8,0.0,2,Latin Groove,43.0
1.Kla$,0.765,0.684,0.57,129.787,0.258,0.139,0.0,0.326,1.0,1.0,4,Brazilian Beat,59.4
10-FEET,0.445,0.94,0.349,150.082,0.0,0.175,0.0,0.32,0.0,1.0,4,Brazilian Beat,71.4
100 First Songs' Participants,0.676,0.36,0.593,132.45,0.682,0.281,0.0,0.063,0.0,1.0,3,Asian Acoustic,43.0
100лиця,0.855,0.888,0.871,124.987,0.026,0.217,0.0,0.249,0.0,1.0,4,Brazilian Beat,
1019,0.772,0.55,0.425,101.937,0.276,0.362,0.001,0.109,1.0,1.0,2,Latin Groove,
102 Boyz,0.733,0.49,0.502,72.798,0.338,0.069,0.0,0.261,0.0,1.0,3,Asian Acoustic,
10CM,0.534,0.555,0.283,117.184,0.472,0.032,0.0,0.095,0.0,1.0,3,Asian Acoustic,69.4
1119,0.83,0.908,0.93,134.954,0.214,0.083,0.0,0.257,0.0,1.0,4,Brazilian Beat,57.2
12os Pithikos,0.729,0.71,0.429,126.581,0.4,0.228,0.0,0.113,0.661,0.482,2,Latin Groove,
13 Killoki,0.722,0.74,0.63,110.245,0.434,0.093,0.0,0.173,0.6,0.6,2,Latin Groove,
13 Organisé,0.861,0.883,0.87,140.312,0.445,0.154,0.0,0.709,1.0,0.0,4,Brazilian Beat,
13K,0.754,0.584,0.436,169.954,0.001,0.338,0.0,0.404,1.0,1.0,4,Brazilian Beat,
13Many,0.701,0.723,0.421,97.904,0.175,0.218,0.008,0.243,1.0,0.556,2,Latin Groove,
14 Casper,0.44,0.351,0.324,141.508,0.789,0.034,0.0,0.129,0.0,1.0,3,Asian Acoustic,
1550 Collective,0.634,0.601,0.704,96.98,0.059,0.213,0.0,0.142,0.667,0.0,2,Latin Groove,48.1
16 BrT,0.895,0.655,0.753,152.959,0.24,0.262,0.0,0.107,0.0,0.0,0,High Energy Pop,
16 Typh,0.895,0.655,0.753,152.959,0.24,0.262,0.0,0.107,0.0,0.0,0,High Energy Pop,
163ONMYNECK,0.826,0.628,0.565,98.975,0.077,0.221,0.0,0.144,1.0,1.0,2,Latin Groove,
187 Strassenbande,0.736,0.691,0.55,99.791,0.154,0.377,0.0,0.06,0.0,1.0,2,Latin Groove,
1986zig,0.615,0.875,0.561,122.623,0.083,0.055,0.0,0.202,0.018,0.018,0,High Energy Pop,69.8
1D1R,0.796,0.666,0.577,119.952,0.627,0.14,0.05,0.099,0.0,0.0,2,Latin Groove,
1Jonne,0.814,0.543,0.685,136.092,0.458,0.04,0.0,0.12,0.0,0.0,0,High Energy Pop,
1da Banton,0.777,0.742,0.964,112.966,0.217,0.06,0.0,0.376,0.0,1.0,4,Brazilian Beat,56.8
1olliee,0.828,0.761,0.7,102.991,0.134,0.177,0.0,0.253,1.0,1.0,2,Latin Groove,
1wayzayys,0.63,0.552,0.263,142.049,0.089,0.061,0.0,0.223,1.0,0.0,2,Latin Groove,
2 Chainz,0.522,0.529,0.852,108.614,0.516,0.531,0.0,0.369,1.0,0.0,4,Brazilian Beat,
2 Engel & Charlie,0.723,0.857,0.759,164.984,0.002,0.047,0.001,0.473,0.0,1.0,4,Brazilian Beat,
21 Savage,0.643,0.691,0.318,146.859,0.067,0.156,0.002,0.402,1.0,0.892,4,Brazilian Beat,93.4
2115,0.654,0.693,0.531,157.933,0.023,0.155,0.0,0.135,1.0,1.0,0,High Energy Pop,
212MUSIC,0.602,0.679,0.539,127.545,0.046,0.314,0.0,0.139,0.0,0.0,2,Latin Groove,
23,0.77,0.57,0.571,116.884,0.212,0.194,0.106,0.133,1.0,0.28,2,Latin Groove,58.9
2462 Secte,0.638,0.941,0.539,144.247,0.402,0.244,0.0,0.177,1.0,1.0,0,High Energy Pop,
24K,0.737,0.682,0.786,130.027,0.408,0.04,0.033,0.072,1.0,0.0,2,Latin Groove,
24hrs,0.663,0.689,0.229,140.25,0.225,0.228,0.0,0.142,1.0,0.0,2,Latin Groove,
25,0.755,0.592,0.667,102.398,0.162,0.153,0.301,0.189,0.439,0.386,2,Latin Groove,
255,0.632,0.687,0.339,114.721,0.071,0.218,0.0,0.106,1.0,1.0,2,Latin Groove,
25K,0.756,0.49,0.4,114.207,0.199,0.192,0.0,0.136,1.0,0.833,2,Latin Groove,
267,0.772,0.4,0.565,136.082,0.839,0.058,0.162,0.111,0.0,1.0,3,Asian Acoustic,
26is,0.51,0.691,0.651,98.645,0.415,0.203,0.0,0.144,0.214,0.214,2,Latin Groove,
291i sng,0.378,0.754,0.723,101.84,0.198,0.072,0.0,0.668,0.0,1.0,4,Brazilian Beat,46.0
2Dee,0.893,0.46,0.603,130.036,0.122,0.09,0.0,0.105,1.0,1.0,1,Pop Mainstream,25.0
2Ectasy,0.67,0.647,0.605,120.068,0.601,0.028,0.0,0.167,0.0,1.0,1,Pop Mainstream,
2K,0.67,0.505,0.253,143.617,0.645,0.079,0.0,0.093,0.233,0.798,3,Asian Acoustic,
2KE,0.531,0.991,0.961,145.054,0.118,0.102,0.926,0.156,0.0,1.0,2,Latin Groove,
2Point1,0.773,0.754,0.528,112.997,0.007,0.037,0.04,0.019,0.0,0.0,2,Latin Groove,
2T FLOW,0.823,0.337,0.506,116.03,0.579,0.047,0.0,0.163,0.0,1.0,3,Asian Acoustic,
2T.,0.941,0.405,0.718,127.095,0.687,0.442,0.0,0.105,0.0,0.0,2,Latin Groove,63.7
2hug,0.721,0.662,0.275,102.159,0.132,0.277,0.0,0.211,1.0,1.0,2,Latin Groove,56.8
2latefor,0.619,0.677,0.162,137.43,0.038,0.154,0.0,0.124,1.0,0.333,2,Latin Groove,
2mochh,0.859,0.646,0.682,103.023,0.024,0.212,0.001,0.091,1.0,0.0,2,Latin Groove,
2nd Roof,0.751,0.713,0.595,109.064,0.332,0.138,0.015,0.107,1.0,0.683,2,Latin Groove,
2pillz,0.632,0.587,0.363,139.76,0.341,0.033,0.0,0.16,0.0,0.998,1,Pop Mainstream,
2woBunnies,0.563,0.59,0.475,113.943,0.004,0.117,0.001,0.746,0.0,1.0,4,Brazilian Beat,
2woshort,0.943,0.539,0.45,112.008,0.051,0.063,0.004,0.041,0.0,0.0,2,Latin Groove,
361Ufuk,0.711,0.686,0.532,144.055,0.065,0.044,0.0,0.206,1.0,1.0,0,High Energy Pop,6.0
372Kaspar,0.636,0.675,0.606,102.356,0.194,0.219,0.0,0.257,0.2,0.2,2,Latin Groove,
3D,0.606,0.674,0.446,106.673,0.049,0.175,0.0,0.313,0.4,1.0,4,Brazilian Beat,53.0
3DayWkend,0.761,0.898,0.898,124.05,0.003,0.1,0.002,0.233,0.0,0.0,0,High Energy Pop,32.0
3P,0.761,0.84,0.656,120.21,0.057,0.072,0.0,0.347,0.0,0.261,4,Brazilian Beat,56.8
3adatu stagars,0.897,0.526,0.66,130.186,0.088,0.397,0.0,0.056,1.0,1.0,2,Latin Groove,
3enba,0.792,0.806,0.703,100.011,0.181,0.278,0.0,0.044,0.0,0.0,2,Latin Groove,
3imad,0.815,0.935,0.459,135.911,0.029,0.189,0.0,0.266,1.0,0.0,2,Latin Groove,
3rd Silhouette,0.54,0.713,0.254,99.837,0.463,0.066,0.0,0.115,0.0,1.0,3,Asian Acoustic,26.0
3robi,0.799,0.66,0.511,138.051,0.121,0.27,0.0,0.108,0.967,0.267,2,Latin Groove,
4 226,0.857,0.779,0.96,130.015,0.451,0.256,0.0,0.04,1.0,1.0,2,Latin Groove,
404,0.793,0.572,0.404,130.047,0.024,0.191,0.001,0.11,1.0,0.0,2,Latin Groove,
40k,0.637,0.703,0.553,81.99,0.53,0.079,0.0,0.11,0.0,0.0,3,Asian Acoustic,
41,0.731,0.586,0.147,125.845,0.116,0.172,0.0,0.099,1.0,0.0,2,Latin Groove,
42palmundo,0.548,0.814,0.847,95.101,0.61,0.351,0.0,0.334,0.0,0.0,4,Brazilian Beat,
450,0.654,0.876,0.719,91.978,0.261,0.053,0.0,0.13,1.0,0.0,2,Latin Groove,
4Mat B,0.849,0.735,0.824,134.043,0.07,0.112,0.305,0.107,0.688,0.625,2,Latin Groove,51.8
4Money,0.81,0.634,0.401,102.675,0.338,0.226,0.0,0.126,0.005,0.57,2,Latin Groove,
4batz,0.658,0.465,0.623,125.447,0.397,0.093,0.0,0.079,1.0,0.412,1,Pop Mainstream,84.9
4njuice,0.968,0.541,0.908,119.998,0.604,0.202,0.0,0.1,0.0,0.0,2,Latin Groove,
4orty7 Santana,0.417,0.698,0.642,99.227,0.53,0.069,0.0,0.2,0.0,1.0,3,Asian Acoustic,35.0
4ourYou,0.57,0.527,0.438,125.09,0.315,0.034,0.0,0.234,1.0,1.0,1,Pop Mainstream,
4s Street,0.661,0.373,0.226,119.686,0.912,0.042,0.0,0.114,0.0,0.0,3,Asian Acoustic,53.2
4yye,0.85,0.711,0.649,160.094,0.067,0.109,0.0,0.044,1.0,1.0,0,High Energy Pop,56.5
5 Seconds of Summer,0.674,0.799,0.578,124.933,0.133,0.037,0.0,0.052,0.0,1.0,1,Pop Mainstream,
50 Cent,0.803,0.783,0.448,100.118,0.144,0.211,0.0,0.12,1.0,0.953,2,Latin Groove,75.0
52Hz,0.507,0.501,0.239,78.082,0.423,0.031,0.085,0.058,0.0,1.0,3,Asian Acoustic,64.4
53 UNIVERSE,0.72,0.583,0.388,160.949,0.092,0.088,0.0,0.119,1.0,0.452,1,Pop Mainstream,
53A,0.692,0.779,0.792,129.057,0.083,0.044,0.0,0.38,0.0,1.0,4,Brazilian Beat,43.0
53a,0.622,0.851,0.66,80.999,0.371,0.061,0.0,0.109,0.0,1.0,1,Pop Mainstream,
58G,0.833,0.576,0.564,143.441,0.289,0.37,0.001,0.095,1.0,0.8,2,Latin Groove,50.1
5MIINUST,0.616,0.81,0.51,140.891,0.117,0.127,0.0,0.346,0.031,0.38,4,Brazilian Beat,37.7
5mewmet,0.882,0.857,0.738,136.903,0.083,0.301,0.002,0.226,1.0,0.729,4,Brazilian Beat,62.8
5sta Family,0.806,0.814,0.344,128.051,0.197,0.046,0.094,0.416,0.0,0.0,4,Brazilian Beat,
6363,0.476,0.62,0.843,92.789,0.187,0.389,0.0,0.361,1.0,1.0,4,Brazilian Beat,
69 Danguje,0.744,0.818,0.459,119.989,0.02,0.032,0.0,0.059,0.0,0.0,0,High Energy Pop,42.0
6ELLUCCI,0.81,0.438,0.147,132.954,0.095,0.062,0.0,0.092,0.0,1.0,3,Asian Acoustic,49.6
6PM RECORDS,0.773,0.751,0.622,140.668,0.109,0.113,0.002,0.118,1.0,0.02,0,High Energy Pop,
6RB Music,0.68,0.703,0.856,122.113,0.344,0.056,0.002,0.311,0.0,0.869,4,Brazilian Beat,47.9
6YNTHMANE,0.756,0.963,0.387,126.331,0.291,0.151,0.116,0.307,0.769,0.769,4,Brazilian Beat,
6arelyhuman,0.487,0.973,0.469,139.321,0.014,0.191,0.001,0.218,1.0,1.0,0,High Energy Pop,66.6
7-Toun,0.611,0.814,0.674,114.52,0.552,0.169,0.001,0.161,0.0,0.013,0,High Energy Pop,54.3
730 Huncho,0.603,0.636,0.18,169.985,0.167,0.158,0.004,0.106,1.0,1.0,1,Pop Mainstream,
74 Original Suppa,0.911,0.658,0.458,115.001,0.214,0.295,0.0,0.087,0.0,0.0,2,Latin Groove,
7Vibes,0.757,0.525,0.921,97.006,0.406,0.152,0.0,0.087,1.0,0.0,2,Latin Groove,
7ari,0.637,0.638,0.266,104.353,0.252,0.157,0.0,0.323,0.556,0.444,4,Brazilian Beat,
7dnight,0.823,0.813,0.746,150.051,0.118,0.155,0.0,0.845,0.0,0.0,4,Brazilian Beat,
7hvrdx,0.692,0.73,0.132,142.029,0.004,0.054,0.0,0.354,0.0,1.0,4,Brazilian Beat,51.8
7liwa,0.744,0.598,0.544,107.927,0.492,0.278,0.002,0.104,0.0,0.328,2,Latin Groove,48.2
808Bros,0.667,0.876,0.691,94.405,0.086,0.349,0.0,0.291,1.0,0.0,4,Brazilian Beat,
808iuli,0.531,0.991,0.961,145.054,0.118,0.102,0.926,0.156,0.0,1.0,2,Latin Groove,
88rising,0.603,0.326,0.451,97.812,0.591,0.067,0.0,0.262,1.0,1.0,3,Asian Acoustic,
8belial,0.651,0.819,0.491,92.287,0.08,0.243,0.0,0.086,0.0,1.0,2,Latin Groove,
8blevrai,0.667,0.768,0.686,116.137,0.166,0.309,0.0,0.089,0.0,1.0,2,Latin Groove,
9000 HÅB,0.779,0.66,0.403,130.033,0.013,0.037,0.0,0.206,0.0,0.0,0,High Energy Pop,25.0
911,0.707,0.542,0.037,109.844,0.538,0.054,0.009,0.157,0.0,0.0,3,Asian Acoustic,58.1
98 Prynce,0.757,0.679,0.694,138.032,0.518,0.088,0.0,0.108,1.0,1.0,1,Pop Mainstream,
9mice,0.696,0.6,0.424,119.625,0.018,0.161,0.0,0.19,1.0,0.973,2,Latin Groove,42.7
@atutowy,0.675,0.704,0.422,141.232,0.068,0.093,0.0,0.176,0.927,0.216,0,High Energy Pop,
A Mar dream,0.777,0.743,0.759,103.094,0.347,0.065,0.014,0.103,1.0,0.0,2,Latin Groove,38.0
A$AP Ferg,0.915,0.735,0.34,89.011,0.026,0.095,0.0,0.172,0.0,1.0,2,Latin Groove,
A$AP Rocky,0.559,0.654,0.292,134.43,0.12,0.06,0.001,0.169,1.0,0.935,1,Pop Mainstream,82.1
A$THMA BOYS,0.774,0.676,0.127,128.121,0.031,0.057,0.0,0.135,1.0,1.0,1,Pop Mainstream,
A$hy Baby,0.844,0.623,0.562,126.657,0.076,0.271,0.0,0.131,1.0,1.0,2,Latin Groove,2.0
A-Europa,0.683,0.738,0.769,117.443,0.006,0.032,0.0,0.665,1.0,1.0,4,Brazilian Beat,
A-Lin,0.315,0.445,0.213,138.772,0.578,0.029,0.0,0.281,0.0,0.0,3,Asian Acoustic,66.2
A-Mei Chang,0.512,0.311,0.271,80.884,0.889,0.031,0.0,0.112,0.0,1.0,3,Asian Acoustic,59.0
A-Reece,0.654,0.584,0.524,106.086,0.345,0.299,0.007,0.262,0.972,0.411,2,Latin Groove,43.7
A.L.A,0.618,0.64,0.532,96.454,0.263,0.101,0.001,0.097,0.0,0.0,2,Latin Groove,
A.M. Turaz,0.557,0.599,0.392,149.785,0.556,0.045,0.0,0.103,0.0,0.0,3,Asian Acoustic,
A.R. Rahman,0.616,0.59,0.74,117.242,0.415,0.064,0.0,0.136,0.0,0.816,1,Pop Mainstream,52.0
A.V.G,0.826,0.522,0.526,119.099,0.095,0.376,0.0,0.109,0.0,0.0,2,Latin Groove,
A36,0.678,0.623,0.491,107.564,0.169,0.098,0.0,0.127,0.652,0.571,2,Latin Groove,45.4
A5rass - الاخرس,0.3,0.62,0.296,75.195,0.219,0.124,0.0,0.075,0.0,0.0,3,Asian Acoustic,
ABBA,0.589,0.581,0.507,117.756,0.431,0.037,0.003,0.376,0.0,1.0,4,Brazilian Beat,77.4
ABMPXC,0.63,0.552,0.263,142.049,0.089,0.061,0.0,0.223,1.0,0.0,2,Latin Groove,
ABREU,0.697,0.839,0.693,127.288,0.179,0.054,0.0,0.226,0.008,0.092,0,High Energy Pop,56.2
ABS-CBN Music All Star,0.559,0.455,0.186,92.014,0.282,0.029,0.0,0.278,0.0,1.0,3,Asian Acoustic,65.5
AC/DC,0.508,0.843,0.497,121.504,0.021,0.073,0.005,0.224,0.0,0.688,0,High Energy Pop,85.1
ADAAM,0.741,0.755,0.68,116.52,0.209,0.16,0.0,0.214,0.447,0.712,0,High Energy Pop,64.4
ADF Samski,0.831,0.767,0.686,130.472,0.065,0.172,0.0,0.12,0.971,0.0,2,Latin Groove,
ADH,0.791,0.657,0.402,109.992,0.155,0.12,0.0,0.102,0.0,1.0,1,Pop Mainstream,14.0
ADI,0.739,0.543,0.724,80.246,0.284,0.094,0.0,0.103,0.0,0.071,2,Latin Groove,
ADPT,0.798,0.637,0.518,99.919,0.15,0.061,0.01,0.122,0.0,1.0,1,Pop Mainstream,11.0
ADSO,0.699,0.851,0.572,116.801,0.054,0.089,0.0,0.163,1.0,0.0,2,Latin Groove,
AFROJACK,0.671,0.939,0.53,129.024,0.191,0.161,0.0,0.298,0.0,1.0,4,Brazilian Beat,
AG,0.67,0.797,0.945,160.143,0.087,0.037,0.001,0.165,0.057,1.0,0,High Energy Pop,
AHTI,0.662,0.684,0.562,141.237,0.208,0.092,0.069,0.249,0.442,0.437,0,High Energy Pop,53.4
AI,0.642,0.914,0.448,94.004,0.095,0.115,0.0,0.365,0.0,1.0,4,Brazilian Beat,61.0
AIGEL,0.619,0.758,0.06,125.009,0.063,0.03,0.906,0.112,0.0,1.0,2,Latin Groove,69.7
AJ Tracey,0.811,0.639,0.615,107.628,0.068,0.244,0.0,0.186,1.0,1.0,2,Latin Groove,
AJÉ,0.928,0.49,0.409,119.981,0.002,0.116,0.021,0.142,1.0,1.0,2,Latin Groove,
AK AUSSERKONTROLLE,0.875,0.568,0.349,124.155,0.123,0.185,0.0,0.108,0.191,0.766,2,Latin Groove,60.7
AKASAKI,0.729,0.682,0.683,159.932,0.002,0.059,0.0,0.197,0.0,0.0,0,High Energy Pop,68.6
AKC Misi,0.772,0.388,0.512,135.967,0.09,0.272,0.0,0.091,1.0,0.0,2,Latin Groove,49.2
AKDO,0.785,0.605,0.704,109.207,0.211,0.15,0.0,0.106,0.242,0.682,2,Latin Groove,
AKMU,0.737,0.427,0.509,118.859,0.596,0.055,0.0,0.148,0.0,0.595,3,Asian Acoustic,70.3
AKOA,0.663,0.622,0.34,88.98,0.488,0.044,0.04,0.165,1.0,0.0,2,Latin Groove,
AL SHAMI,0.672,0.714,0.538,103.464,0.174,0.062,0.0,0.128,0.0,0.0,2,Latin Groove,65.4
ALBLAK 52,0.807,0.732,0.497,150.185,0.091,0.275,0.0,0.244,1.0,0.953,4,Brazilian Beat,61.7
ALEM,0.754,0.517,0.814,119.978,0.498,0.035,0.032,0.126,0.0,0.0,0,High Energy Pop,52.1
ALEMVN,0.909,0.685,0.802,104.395,0.047,0.341,0.0,0.306,1.0,0.444,4,Brazilian Beat,
ALEX CALDAZ,0.557,0.214,0.303,128.061,0.331,0.038,0.851,0.108,0.0,0.667,3,Asian Acoustic,30.7
ALHANNA,0.839,0.784,0.525,97.012,0.123,0.093,0.0,0.176,1.0,1.0,2,Latin Groove,35.0
ALIKA,0.634,0.742,0.524,129.905,0.199,0.127,0.0,0.284,0.0,0.0,4,Brazilian Beat,
ALIZADE,0.78,0.581,0.542,97.2,0.069,0.146,0.004,0.161,1.0,0.945,2,Latin Groove,73.5
ALLMO$T,0.746,0.736,0.544,142.974,0.024,0.04,0.0,0.065,0.0,0.0,0,High Energy Pop,72.6
ALMARY,0.48,0.519,0.161,85.343,0.283,0.396,0.0,0.112,0.0,0.0,3,Asian Acoustic,52.8
ALYA,0.639,0.842,0.46,169.908,0.174,0.191,0.0,0.055,0.0,0.0,0,High Energy Pop,
AMAQHAWE,0.549,0.242,0.372,113.098,0.063,0.057,0.0,0.066,0.0,1.0,3,Asian Acoustic,
AMEE,0.822,0.674,0.757,114.347,0.625,0.101,0.022,0.213,0.0,0.854,0,High Energy Pop,57.4
AMK,0.799,0.453,0.518,91.97,0.365,0.206,0.0,0.129,1.0,1.0,2,Latin Groove,65.4
AMORE,0.67,0.545,0.444,123.022,0.216,0.089,0.021,0.344,0.0,0.0,4,Brazilian Beat,
AMOTION,0.625,0.963,0.08,129.994,0.001,0.039,0.787,0.111,0.0,0.0,2,Latin Groove,40.0
AMUSIK,0.667,0.391,0.333,99.547,0.599,0.307,0.0,0.226,1.0,0.0,2,Latin Groove,
ANATII,0.628,0.477,0.066,114.33,0.025,0.323,0.0,0.573,1.0,1.0,4,Brazilian Beat,
ANGGA DERMAWAN,0.836,0.892,0.969,132.006,0.004,0.05,0.129,0.137,0.0,1.0,0,High Energy Pop,62.5
"ANH TRAI ""SAY HI""",0.632,0.686,0.468,121.153,0.375,0.081,0.0,0.191,0.0,0.799,1,Pop Mainstream,
ANI,0.669,0.751,0.543,120.345,0.203,0.052,0.0,0.194,0.0,0.338,0,High Energy Pop,61.9
ANIKV,0.931,0.696,0.357,134.005,0.336,0.187,0.0,0.339,1.0,1.0,4,Brazilian Beat,
ANITA,0.728,0.73,0.713,126.022,0.077,0.085,0.0,0.074,0.0,0.125,0,High Energy Pop,23.9
ANKO,0.795,0.542,0.701,147.998,0.204,0.276,0.0,0.124,0.0,0.0,0,High Energy Pop,
ANNA,0.738,0.724,0.549,111.506,0.138,0.115,0.0,0.221,0.782,0.572,2,Latin Groove,68.4
ANNA ASTI,0.754,0.778,0.477,114.705,0.129,0.066,0.0,0.262,0.0,0.223,0,High Energy Pop,61.2
ANNIE,0.738,0.722,0.714,119.984,0.042,0.031,0.179,0.152,0.0,0.0,0,High Energy Pop,56.0
ANNO ONS,0.795,0.694,0.858,123.027,0.284,0.048,0.0,0.142,0.0,0.0,0,High Energy Pop,
ANT,0.52,0.77,0.576,152.003,0.246,0.03,0.0,0.108,0.0,1.0,1,Pop Mainstream,23.8
ANUBII$,0.829,0.548,0.298,111.076,0.059,0.173,0.183,0.115,0.904,0.048,2,Latin Groove,
AOUR,0.771,0.704,0.498,123.977,0.342,0.068,0.0,0.244,1.0,1.0,1,Pop Mainstream,
AP Dhillon,0.794,0.625,0.558,109.17,0.222,0.076,0.009,0.153,0.0,0.231,2,Latin Groove,73.7
AP$ENT,0.798,0.762,0.63,126.976,0.357,0.036,0.735,0.372,0.0,1.0,2,Latin Groove,63.2
APHACA,0.647,0.578,0.587,118.111,0.277,0.108,0.0,0.148,0.0,0.193,1,Pop Mainstream,61.5
APON,0.614,0.501,0.361,106.005,0.566,0.066,0.0,0.108,0.013,0.096,3,Asian Acoustic,62.3
AR Paisley,0.749,0.644,0.446,150.015,0.044,0.336,0.0,0.12,1.0,1.0,2,Latin Groove,
AR-AB,0.813,0.778,0.528,98.033,0.198,0.106,0.0,0.583,1.0,1.0,4,Brazilian Beat,
ARARYOZI,0.799,0.732,0.544,129.989,0.622,0.166,0.0,0.256,0.0,0.0,4,Brazilian Beat,
ARCADE,0.891,0.765,0.804,119.982,0.202,0.059,0.008,0.076,0.0,0.968,0,High Energy Pop,
ARIAN730,0.661,0.732,0.442,170.016,0.012,0.279,0.0,0.102,1.0,1.0,0,High Energy Pop,
ARO,0.785,0.55,0.554,92.998,0.559,0.047,0.026,0.116,0.0,1.0,3,Asian Acoustic,46.0
ARTEM SHILOVETS,0.718,0.586,0.514,110.984,0.287,0.161,0.0,0.182,0.927,0.29,2,Latin Groove,
ARTHUR,0.543,0.576,0.302,72.97,0.05,0.469,0.0,0.066,1.0,1.0,2,Latin Groove,
AR刘夫阳,0.636,0.758,0.184,175.948,0.005,0.138,0.0,0.309,0.0,1.0,4,Brazilian Beat,
ASH ISLAND,0.531,0.67,0.595,139.049,0.206,0.028,0.0,0.213,0.0,1.0,1,Pop Mainstream,
ASHBA,0.675,0.969,0.341,128.017,0.002,0.056,0.034,0.2,0.0,0.0,0,High Energy Pop,
ASHE 22,0.906,0.446,0.725,139.966,0.443,0.287,0.0,0.098,1.0,1.0,2,Latin Groove,
ASIA7,0.603,0.749,0.476,98.037,0.32,0.033,0.0,0.096,0.0,1.0,1,Pop Mainstream,61.9
ASOK,0.868,0.659,0.549,132.953,0.337,0.21,0.108,0.118,1.0,0.548,2,Latin Groove,
ASPARAGUSproject,0.564,0.944,0.332,120.062,0.001,0.045,0.46,0.145,0.0,0.0,2,Latin Groove,14.0
ASTRO,0.608,0.585,0.314,122.155,0.129,0.077,0.001,0.177,1.0,1.0,1,Pop Mainstream,
ASTROPICAL,0.771,0.656,0.489,105.961,0.116,0.086,0.004,0.121,0.0,0.0,2,Latin Groove,
ASYM,0.742,0.436,0.137,120.044,0.662,0.467,0.028,0.139,0.0,0.0,3,Asian Acoustic,
ATC Nico,0.678,0.756,0.418,137.753,0.358,0.233,0.0,0.094,1.0,0.25,2,Latin Groove,40.2
ATL,0.834,0.677,0.428,139.991,0.238,0.222,0.024,0.219,1.0,1.0,2,Latin Groove,
ATL Jacob,0.774,0.86,0.446,100.019,0.131,0.13,0.0,0.116,0.0,0.0,2,Latin Groove,
ATLXS,0.612,0.873,0.392,116.932,0.008,0.036,0.012,0.248,0.776,0.073,0,High Energy Pop,84.6
AUR,0.724,0.369,0.479,87.159,0.443,0.107,0.0,0.111,0.0,1.0,3,Asian Acoustic,75.3
AURORA,0.383,0.358,0.082,73.412,0.12,0.056,0.001,0.096,0.0,1.0,3,Asian Acoustic,62.1
AUT of ORDA,0.561,0.75,0.713,152.933,0.156,0.056,0.0,0.058,0.0,1.0,0,High Energy Pop,53.9
AVA,0.659,0.757,0.502,126.925,0.154,0.123,0.0,0.139,0.807,0.807,1,Pop Mainstream,
AVGVSTVS,0.816,0.719,0.69,123.589,0.136,0.114,0.001,0.101,0.8,0.2,2,Latin Groove,
AYLA's,0.605,0.452,0.294,140.027,0.47,0.026,0.0,0.124,0.0,1.0,3,Asian Acoustic,62.1
